# Ntrk  Data  MC  Data Stat. error  MC Stat. error
0.0	0.113	0.078	0.002	0.006
1.0	0.166	0.136	0.002	0.007
2.0	0.205	0.156	0.003	0.009
3.0	0.247	0.206	0.005	0.013
4.0	0.280	0.249	0.007	0.018
5.0	0.319	0.312	0.011	0.027
6.0	0.345	0.364	0.017	0.039
7.0	0.351	0.235	0.023	0.043
8.0	0.376	0.294	0.035	0.064
9.0	0.359	0.429	0.054	0.094
10.0	0.440	0.235	0.099	0.103
11.0	0.421	0.700	0.113	0.145
12.0	0.286	0.400	0.171	0.219
14.0	1.000	0.000	0.000	0.000

